id,name,url,image_url,group_name,sphere_name
154,"Модернизация сетей наружного освещения г. Челябинска, (МБУ «ЭВИС»)",https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/modernizaciya-setej-naruzhnogo-osveshcheniya-g-chelyabinska-mbu-evis,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/869/67add186994b2339100548.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
155,"Замена уличного освещения города, Исполнительный комитет Арского муниципального района",https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/zamena-ulichnogo-osveshcheniya-goroda-ispolnitelnyj-komitet-arskogo-municipalnogo-rajona,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/97b/67add197bebc3613540884.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
156,Освещение развязки ул. Федюниского- Мельникайте,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/osveshchenie-razvyazki-ul-fedyuniskogo-melnikajte,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/ab0/67add1ab05f35959053271.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
157,Реконструкция освещения на остановках общественного транспорта,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/rekonstrukciya-osveshcheniya-na-ostanovkah-obshchestvennogo-transporta,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/bb6/67add1bb6d38d779144040.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
158,Освещение улиц города Чапаевск,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/osveshchenie-ulic-goroda-chapaevsk,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/cda/67add1cdab865523210016.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
159,Автодорога вокруг цеха горячего брекетирования ПАО «Михайловский ГОК»,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/avtodoroga-vokrug-ceha-goryachego-breketirovaniya-pao-mihajlovskij-gok,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/e5e/67add1e5e6cad474924323.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
160,"Уличное освещение вахтового поселка ТОО «ТенгизШевройл», п. Шанырак",https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/ulichnoe-osveshchenie-vahtovogo-poselka-too-tengizshevrojl-p-shanyrak,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/fd2/67add1fd21904774674938.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
161,"Автомобильная дорога «Нарьян-Мар – Усинск», участок п. Харьягинский — граница округа км 31 + 410",https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/avtomobilnaya-doroga-naryan-mar-usinsk-uchastok-p-haryaginskij-granica-okruga-km-31-410,https://ladzavod.ru/storage/app/uploads/public/67a/dd2/0fd/67add20fdd1b6107717282.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
162,Архитектурно художественное оформление фасадов здания. Православный храм Василия Великого,https://ladzavod.ru/portfolio/naruzhnoe-osveshchenie-v-tom-chisle-arhitekturno-hudozhestvennoe-osveshchenie/arhitekturno-hudozhestvennoe-oformlenie-fasadov-zdaniya-pravoslavnyj-hram-vasiliya-velikogo,https://ladzavod.ru/storage/app/uploads/public/67a/dd2/5da/67add25dae26b906396467.jpg,Наружное освещение (в том числе архитектурно-художественное освещение),Архитектурное освещение
163,Архитектурно-художественное освещение фасадов здания объект культурного наследия регионального значения: Особняк Бреслина,https://ladzavod.ru/portfolio/naruzhnoe-osveshchenie-v-tom-chisle-arhitekturno-hudozhestvennoe-osveshchenie/arhitekturno-hudozhestvennoe-osveshchenie-fasadov-zdaniya-obekt-kulturnogo-naslediya-regionalnogo-znacheniya-osobnyak-breslina,https://ladzavod.ru/storage/app/uploads/public/67a/dd2/719/67add2719d63b158826572.jpg,Наружное освещение (в том числе архитектурно-художественное освещение),Архитектурное освещение
